dataset	method	from	to	weight	from_name	to_name	asso_est	asso_type	edge_betw	name_from_sorted	name_to_sorted	edge_name
ST110_FMBN_ps	sparcc	2	10	0.17790205826302363	Enterobacter	Leuconostoc	-0.35169005161634614	mut_ex	9.1	Enterobacter	Leuconostoc	Enterobacter--Leuconostoc
ST110_FMBN_ps	sparcc	5	10	0.178647463934126	Lactiplantibacillus	Leuconostoc	-0.3492399770036859	mut_ex	4.933333333333333	Lactiplantibacillus	Leuconostoc	Lactiplantibacillus--Leuconostoc
ST110_FMBN_ps	sparcc	6	10	0.41303925502204986	Lactobacillus complex	Leuconostoc	0.31095416770985945	copres	6.2	Lactobacillus complex	Leuconostoc	Lactobacillus complex--Leuconostoc
ST110_FMBN_ps	sparcc	9	10	0.18322941053089858	Latilactobacillus	Leuconostoc	-0.3342283916434068	mut_ex	4.933333333333333	Latilactobacillus	Leuconostoc	Latilactobacillus--Leuconostoc
ST110_FMBN_ps	sparcc	3	11	0.5140208402220052	Enterococcus	Macrococcus	0.5276485125229483	copres	4.5	Enterococcus	Macrococcus	Enterococcus--Macrococcus
ST110_FMBN_ps	sparcc	6	11	0.17796991885535562	Lactobacillus complex	Macrococcus	-0.35146690861334107	mut_ex	7.800000000000001	Lactobacillus complex	Macrococcus	Lactobacillus complex--Macrococcus
ST110_FMBN_ps	sparcc	7	11	0.42611654493658613	Lactobacillus	Macrococcus	0.3413155600089572	copres	3.4833333333333334	Lactobacillus	Macrococcus	Lactobacillus--Macrococcus
ST110_FMBN_ps	sparcc	8	11	1	Lactococcus	Macrococcus	1	copres	3.8333333333333335	Lactococcus	Macrococcus	Lactococcus--Macrococcus
ST110_FMBN_ps	sparcc	8	12	1	Lactococcus	Staphylococcus	1	copres	3.833333333333333	Lactococcus	Staphylococcus	Lactococcus--Staphylococcus
ST110_FMBN_ps	sparcc	11	12	0.5689814808213833	Macrococcus	Staphylococcus	0.628446072250145	copres	4.5	Macrococcus	Staphylococcus	Macrococcus--Staphylococcus
ST110_FMBN_ps	sparcc	1	13	0.5125823377532248	Acinetobacter	Streptococcus	0.5248480450597772	copres	8.466666666666667	Acinetobacter	Streptococcus	Acinetobacter--Streptococcus
ST110_FMBN_ps	sparcc	2	13	0.5164915498307259	Enterobacter	Streptococcus	0.5324391572298132	copres	4.6000000000000005	Enterobacter	Streptococcus	Enterobacter--Streptococcus
ST110_FMBN_ps	sparcc	4	13	0.46901015444572314	Escherichia/Shigella	Streptococcus	0.4360995678364904	copres	6.6499999999999995	Escherichia/Shigella	Streptococcus	Escherichia/Shigella--Streptococcus
ST110_FMBN_ps	sparcc	5	13	0.1146886462693848	Lactiplantibacillus	Streptococcus	-0.5675523860886691	mut_ex	8.466666666666667	Lactiplantibacillus	Streptococcus	Lactiplantibacillus--Streptococcus
ST110_FMBN_ps	sparcc	7	13	0.4969117771789212	Lactobacillus	Streptococcus	0.49380448011745715	copres	6.033333333333334	Lactobacillus	Streptococcus	Lactobacillus--Streptococcus
ST110_FMBN_ps	sparcc	9	13	0.08540083677281463	Latilactobacillus	Streptococcus	-0.6729832587517355	mut_ex	8.466666666666665	Latilactobacillus	Streptococcus	Latilactobacillus--Streptococcus
ST110_FMBN_ps	sparcc	11	13	0.040173952714884775	Macrococcus	Streptococcus	-0.8425320820939364	mut_ex	8.85	Macrococcus	Streptococcus	Macrococcus--Streptococcus
ST110_FMBN_ps	sparcc	2	14	0.17908162334328692	Enterobacter	Weissella	-0.34781396226538586	mut_ex	3.366666666666667	Enterobacter	Weissella	Enterobacter--Weissella
ST110_FMBN_ps	sparcc	10	14	0.4151390409525101	Leuconostoc	Weissella	0.31587531716410056	copres	5.699999999999999	Leuconostoc	Weissella	Leuconostoc--Weissella
ST110_FMBN_ps	sparcc	11	14	0.5125420320839571	Macrococcus	Weissella	0.5247694590303241	copres	3.3666666666666663	Macrococcus	Weissella	Macrococcus--Weissella
ST110_FMBN_ps	sparcc	12	14	0.594776579172242	Staphylococcus	Weissella	0.6715879584252995	copres	5.333333333333333	Staphylococcus	Weissella	Staphylococcus--Weissella
ST110_FMBN_ps	sparcc	13	14	0.06325521493948949	Streptococcus	Weissella	-0.7549815846761241	mut_ex	5.033333333333333	Streptococcus	Weissella	Streptococcus--Weissella
ST110_FMBN_ps	ccrepe	2	3	0.5015419225449671	Enterobacter	Enterococcus	0.503079090039665	copres	4.500000000000001	Enterobacter	Enterococcus	Enterobacter--Enterococcus
ST110_FMBN_ps	ccrepe	2	4	0.6286673244096828	Enterobacter	Escherichia/Shigella	0.7242240880778725	copres	3.8333333333333326	Enterobacter	Escherichia/Shigella	Enterobacter--Escherichia/Shigella
ST110_FMBN_ps	ccrepe	3	4	0.6123538739622887	Enterococcus	Escherichia/Shigella	0.6994609619359098	copres	1.6666666666666665	Enterococcus	Escherichia/Shigella	Enterococcus--Escherichia/Shigella
ST110_FMBN_ps	ccrepe	5	6	0.4520296329066885	Lactiplantibacillus	Lactobacillus complex	0.399456953575243	copres	2.5	Lactiplantibacillus	Lactobacillus complex	Lactiplantibacillus--Lactobacillus complex
ST110_FMBN_ps	ccrepe	2	7	0.42332167298288614	Enterobacter	Lactobacillus	0.33488421429748555	copres	2.666666666666666	Enterobacter	Lactobacillus	Enterobacter--Lactobacillus
ST110_FMBN_ps	ccrepe	3	7	0.4640272834855682	Enterococcus	Lactobacillus	0.425466494304281	copres	6.833333333333333	Enterococcus	Lactobacillus	Enterococcus--Lactobacillus
ST110_FMBN_ps	ccrepe	4	7	0.5618835115652736	Escherichia/Shigella	Lactobacillus	0.6161078851232487	copres	3.416666666666666	Escherichia/Shigella	Lactobacillus	Escherichia/Shigella--Lactobacillus
ST110_FMBN_ps	ccrepe	6	8	0.1390285198525576	Lactobacillus complex	Lactococcus	-0.4825437792545555	mut_ex	8.116666666666665	Lactobacillus complex	Lactococcus	Lactobacillus complex--Lactococcus
ST110_FMBN_ps	ccrepe	7	8	0.1884517216686029	Lactobacillus	Lactococcus	-0.31722121612530946	mut_ex	10.116666666666665	Lactobacillus	Lactococcus	Lactobacillus--Lactococcus
ST110_FMBN_ps	ccrepe	6	9	0.5059892151610602	Lactobacillus complex	Latilactobacillus	0.5119066889256295	copres	4	Lactobacillus complex	Latilactobacillus	Lactobacillus complex--Latilactobacillus
ST110_FMBN_ps	ccrepe	2	10	0.1786101529821753	Enterobacter	Leuconostoc	-0.3493625615679309	mut_ex	7.499999999999999	Enterobacter	Leuconostoc	Enterobacter--Leuconostoc
ST110_FMBN_ps	ccrepe	5	10	0.5487276434526824	Lactiplantibacillus	Leuconostoc	0.5927065204324613	copres	4.083333333333333	Lactiplantibacillus	Leuconostoc	Lactiplantibacillus--Leuconostoc
